,absolute_magnitude,relative_velocity,miss_distance,hazardous,max_diameter,min_diameter,orbit_id,orbit_uncertainty,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,semi_major_axis,inclination,ascending_node_longitude,orbital_period,perihelion_distance,perihelion_argument,aphelion_distance,perihelion_time,mean_anomaly,mean_motion,equinox,orb_year,orb_month,orb_day,cap_year,cap_month,cap_day
3027,-0.1478697174342398,-0.2467205442951294,1.1095071599151909,0.0,-0.2369123089876519,-0.2369123090878566,7.0,0.9216855945917036,0.530732651136732,-0.0950642505129748,0.2917293151920961,1.558715384384001,-0.3103210780748071,-0.2430034340915404,-1.1451863389114665,-0.3539683394992108,-1.5903564634584773,0.130821743830038,0.0782293485898142,0.3642601645738966,1.039414603419693,-0.0524962018617736,0,2017.0,4.0,6.0,2011.0,2.0,8.0
2335,-0.9150035825519678,0.2911040138525103,1.542968684345456,1.0,0.3166494411864438,0.3166494411989117,67.0,-1.0740237465945617,-0.640285927364532,1.8290811431813765,0.2917293151920961,-0.0088764507956732,-1.152484096328232,-0.1393427331367574,0.4571155508487995,-1.0043576680553208,-1.2902129410867726,1.3315466350739007,-0.9339873057182236,0.2995048985272346,1.3792354995110443,1.972963939152416,0,2017.0,4.0,6.0,2008.0,2.0,8.0
186,-0.810394419126823,1.847286482940917,0.360190834729055,0.0,0.2045012863044943,0.2045012863160961,12.0,0.5890673710606594,1.397833421316623,-1.7723167771157078,0.2917293151920961,2.01155775840553,2.2398498032420044,0.539850815467286,-0.6994289002184679,2.332495372729801,-0.6277227144910563,1.3842102147458204,2.64688912305821,-0.3269293954999189,-0.242606760675284,-1.4945259120345544,0,2017.0,4.0,6.0,1996.0,2.0,22.0
861,-0.0083908328673808,1.0415709457600628,0.6439194266779928,0.0,-0.2900006783434068,-0.2900006784166268,17.0,1.254303818122748,-0.2688876981291909,0.1825890393638289,0.2917293151920961,-0.4089112852222877,-0.4201896456970038,0.5732464375581817,0.9240811436341152,-0.4466482437787526,-0.0072757739936386,-1.0901747827580992,-0.463381112701513,0.3294455808813235,1.2670001084564937,0.1076255498724035,0,2017.0,4.0,6.0,2000.0,5.0,22.0
648,-0.426827486567959,1.9109474666123056,-0.6400194916760314,0.0,-0.0963500102615907,-0.0963500101478173,21.0,1.254303818122748,-0.2408989954610396,-0.3945736302634629,0.2917293151920961,1.743438855329991,-0.0796062135504821,-0.6913842833179578,1.220373300794935,-0.1523134640510771,-1.6073349259357557,1.4296057597809333,0.3382231014914282,0.2308100736553562,-1.4092951560748626,-0.3346048260490893,0,2017.0,4.0,6.0,1999.0,2.0,15.0
1127,0.898221916817206,-0.5095146719116165,-1.2796314621671574,0.0,-0.4732060855201491,-0.4732060854882558,7.0,1.254303818122748,-0.7362537555581189,0.5031450241778647,0.2917293151920961,-1.4447974761465487,-0.5929221702704042,0.2384656657167624,-1.107575767322469,-0.5878230143926375,0.5510545851055886,1.0168765818598398,-0.802770581907917,0.4445202249820613,0.2003762879803716,0.4028495770942711,0,2017.0,4.0,6.0,2001.0,11.0,22.0
2960,0.4752521993682044,0.5187747445260469,0.7531477890875469,0.0,-0.4138973967214452,-0.4138973966792727,13.0,0.9216855945917036,-0.7652486166529153,-1.482521215086857,0.2917293151920961,1.9795329493734115,1.490744280364567,-0.7815360686290309,1.7200749391320975,1.4467208584501934,-0.978285266795208,-1.0010439052376754,1.9103356160768,0.0603139158854441,-1.0356486688656534,-1.291205233878132,0,2017.0,7.0,31.0,2010.0,10.0,22.0
3147,0.2356972151246228,0.3182762793333206,0.4302947617461017,0.0,-0.3623280035151989,-0.3623280033714994,85.0,-1.0740237465945617,-0.8830932818980171,0.7427525279782553,-4.91496647080671,-0.8541922095199705,-0.7145480898960478,-1.0811048769506562,1.0581545655237674,-0.6837974624775253,-0.104657139893427,0.8714795958218312,-0.7635164964411756,-4.721293760530135,0.6513321151479521,0.6504211192964648,0,2017.0,4.0,6.0,2011.0,8.0,8.0
2183,-0.6360458134182486,-0.7522434833910734,0.1057909924111621,1.0,0.0488135024548772,0.0488135024872523,41.0,-1.0740237465945617,-0.6092229732427946,-0.0562089796264249,0.2917293151920961,-0.6546743585397635,-0.2242351062459273,0.237507221300284,-0.1614803982947644,-0.2798250455924065,0.5004574462291391,-0.4624526289618155,-0.3810706406080398,0.1460001288207822,-0.794098609838447,-0.1655378994240667,0,2017.0,4.0,6.0,2007.0,6.0,22.0
83,-0.4965669288513884,-0.7359319992073667,-0.9069437992434436,1.0,-0.0523442998400344,-0.0523442999829946,67.0,-1.0740237465945617,-0.5248751812264938,1.0649274824125636,-1.319774208393612,0.1616362672523814,-0.8834728451798478,-0.7740455443999938,0.313009110664609,-0.812208473460693,-1.057254838987826,0.2658256807013172,-0.6978854297265968,-1.2748564133785028,1.3761029811383036,1.0654523823653297,0,2017.0,4.0,6.0,1995.0,7.0,8.0
484,0.2356972151246228,-0.0393830299318485,0.989709227152862,0.0,-0.3623280035151989,-0.3623280033714994,17.0,-1.0740237465945617,0.7537498537035269,-0.4358573555804222,-2.7520052722817567,-0.6576176032746398,0.0817047648049228,1.1357111607376271,-1.4939421975603844,-0.0058461352155134,0.9724062087624114,-1.1644493444876094,-0.1674716641681054,-2.5291527878284974,0.638568958191762,-0.4973857270543924,0,2017.0,4.0,6.0,1998.0,3.0,8.0
2113,1.9094438299269365,-1.0173153436562787,-1.8442547300055327,0.0,-0.5316220507450069,-0.5316220507548047,8.0,1.586922041653792,-0.867924459330926,-0.2691034846923123,-3.459352042610187,-0.3180537153070147,-0.0196109440432411,-1.2105707356366624,0.0177551941158698,-0.0983552963866742,0.4795392058010977,0.9096497537268476,-0.1489242008565297,-3.443687327980958,-1.4402349561486834,-0.3980381002058134,0,2017.0,4.0,6.0,2007.0,2.0,8.0
3303,-0.0781302751508103,-0.8140017000405559,-0.1983353733817609,0.0,-0.2646780351332358,-0.2646780351546724,4.0,1.9195402651848363,0.1904761188565178,-0.9223577264724308,-1.6968309578662053,0.0077299246869455,0.8188996892857623,-1.0490803066997711,-0.160726667436146,0.7171356800444164,1.2330273290610525,-1.4392328684166291,0.579751003474111,-1.6259125007314357,1.4766309827341464,-1.01178449458689,0,2017.0,4.0,6.0,2012.0,3.0,15.0
1816,-1.6821374476696944,-0.4324661878311303,1.1800810989455557,0.0,1.8412851026677708,1.841285102769458,175.0,-1.0740237465945617,1.1883337384817112,-0.7013683733051786,0.2917293151920961,0.1072237969375416,0.3773940406493329,0.7220714501112624,-1.564998119211731,0.2738440130443434,0.5521442097807969,0.8397309770907394,0.2714527122292005,0.0907967528909969,-0.7795258106881072,-0.7410920202491015,0,2017.0,4.0,6.0,2005.0,9.0,22.0
1697,1.1074402436674944,-0.0530847541623829,0.7670590233807347,0.0,-0.4923423634699854,-0.4923423634647442,9.0,1.254303818122748,-0.5776263176947499,-0.346814026465412,0.2917293151920961,-0.5876313782149624,0.0597328458975619,-0.3511955451820314,0.6631615165297914,-0.0260550454109486,0.8670725692806492,0.1416140706899242,-0.1638611549071177,0.4575432099639472,0.6121633529241567,-0.4766207101298128,0,2017.0,4.0,6.0,2005.0,1.0,15.0
3222,0.7587430322503458,-0.0375786171252456,0.6927789975765689,0.0,-0.4571736543427501,-0.4571736543398758,7.0,1.586922041653792,-0.2199698065363595,0.19149337227533,-1.6188864101716125,-1.5684815941288954,-0.4182621912010869,0.9355890045382276,0.3757935549354458,-0.4450414087924824,0.9748779777044444,1.217099484970695,-0.7217825991812591,-1.644948633269525,-1.317076392942776,0.1046478656021475,0,2017.0,4.0,6.0,2011.0,11.0,15.0
2599,0.6192641476834868,-0.1654895511795829,0.1060726258521443,0.0,-0.4378984323896466,-0.4378984325213552,11.0,1.586922041653792,-0.8312538124563383,0.5849029900016465,-2.3437707037313262,-1.8093205042874183,-0.6474294513851956,0.6836550533256798,0.1565733255210237,-0.6311914474758891,0.7279967156238011,1.0693468711407352,-0.910068493191246,-2.3726750753811148,-1.0901257302121603,0.5092110030163035,0,2017.0,4.0,6.0,2009.0,3.0,22.0
1895,0.3751760996914831,0.230898687522683,-0.6350775442882851,0.0,-0.3943169093696878,-0.3943169093143367,9.0,0.9216855945917036,-0.6657461101605058,1.7133248153318636,0.2917293151920961,0.2507062997810579,-1.118440894133076,-0.6593523254506041,-1.1432933992763614,-0.9809130972785796,-1.3974725144776692,0.1979969440808262,-0.8678356729001754,0.234304829712977,-1.096513764920322,1.83623276578393,0,2017.0,4.0,6.0,2006.0,1.0,15.0
820,-0.1478697174342398,1.071771973851034,0.3446849234936632,0.0,-0.2369123089876519,-0.2369123090878566,14.0,1.254303818122748,-0.2455437289805629,0.9540280634238698,0.2917293151920961,-0.3022563951893879,-0.8683526764275405,1.7021157554248183,-1.670227366221977,-0.800951784837522,-0.7250538745759005,0.392746459073379,-0.7692645488403993,0.383150752176262,0.5266377029752746,1.0243254519746494,0,2017.0,4.0,6.0,2000.0,3.0,15.0
1951,-0.3919577654262448,-0.3168811165018313,1.6091146056249033,0.0,-0.1168788271194275,-0.1168788270671998,19.0,1.586922041653792,-0.2714840243301206,0.5468572039252334,-4.44242765040824,0.5139887806587164,-0.6703928528740407,0.7166547770357224,-1.0035179979953577,-0.6492891982383763,-1.060122651316886,0.988036466693753,-0.4611633786192382,-4.29014290234436,0.9852719333472204,0.5561941448698084,0,2017.0,4.0,6.0,2006.0,5.0,8.0
